Collection,Title,Governance
A01,International Coastal Atlas Network Coastal Erosion Global Thesaurus,International Coastal Atlas Network
A02,Oregon Coastal Atlas Coastal Erosion Thesaurus markup terms,Oregon State Coastal Management Program
A03,Oregon Coastal Atlas Coastal Erosion Thesaurus discovery terms,Oregon State Coastal Management Program
A04,MIDA Coastal Erosion Thesaurus,Coastal and Marine resources Centre
A05,AtlantOS Essential Variables,British Oceanographic Data Centre
B02,BODC-annotated certified reference materials,British Oceanographic Data Centre
B03,BODC-annotated reference material classifiers,British Oceanographic Data Centre
B04,BODC people titles,British Oceanographic Data Centre
B05,BODC governance roles,British Oceanographic Data Centre
B06,BODC data and metadata integrity checks,British Oceanographic Data Centre
B07,Sampling net gear deployment vocabulary,British Oceanographic Data Centre
B09,Celtic Seas Partnership data owner nations bordering MSFD Celtic Seas Marine Region,British Oceanographic Data Centre
B11,BODC Standard Operating Procedures and Protocols for environmental observations,British Oceanographic Data Centre
B12,BODC measurement numeric attribute types,British Oceanographic Data Centre
B20,Celtic Seas Partnership stakeholder sectors,British Oceanographic Data Centre
B21,Celtic Seas Partnership scale,British Oceanographic Data Centre
B22,Celtic Seas Partnership governance mechanisms,British Oceanographic Data Centre
B39,NMF-SS Research Vessel underway variable NetCDF vocabulary,British Oceanographic Data Centre
B75,BODC Organisations,British Oceanographic Data Centre
B76,BODC Platform Models,British Oceanographic Data Centre
C00,BODC Seafloor Depth Data Sources,British Oceanographic Data Centre
C10,BODC series feature types,British Oceanographic Data Centre
C16,SeaDataNet sea areas,SeaDataNet
C17,ICES Platform Codes,International Council for the Exploration of the Sea
C18,Intergovernmental Oceanographic Commission countries,International Council for the Exploration of the Sea
C19,SeaVoX salt and fresh water body gazetteer,SeaDataNet and MarineXML Vocabulary Content Governance Group
C30,Active vocabulary content governance authorities,British Oceanographic Data Centre
C31,World Meteorological Organisation voluntary observing ship category,World Meteorological Organisation
C32,International Standards Organisation countries,International Organization for Standardization
C33,NERC DataGrid data production tool category,Natural Environment Research Council
C34,Activity purpose categories,SeaDataNet
C35,European Nature Information System Level 3 Habitats,European Environment Agency
C36,Monitoring activity legislative drivers,SeaDataNet
C37,Ten-degree Marsden Squares,SeaDataNet
C38,SeaDataNet Ports Gazetteer,SeaDataNet
C39,World Meteorological Organisation sea states,World Meteorological Organisation
C40,Bonn Agreement pollution report accuracy,Bonn Agreement
C41,BODC marine pollution sources,British Oceanographic Data Centre
C43,BODC oilspill quantity,British Oceanographic Data Centre
C45,Marine Strategy Framework Directive descriptors 2010/477/EU,European Commission
C46,Marine Strategy Framework Directive criteria 2010/477/EU,European Commission
C47,Marine Strategy Framework Directive indicators 2010/477/EU,European Commission
C48,MEDIN Data Guidelines,MEDIN Standards Group
C59,BODC organisation roles within activities and projects,British Oceanographic Data Centre
C60,NERC DataGrid vocabulary term relationships,British Oceanographic Data Centre
C61,BODC post town names,British Oceanographic Data Centre
C62,BODC administrative region names,British Oceanographic Data Centre
C64,United Kingdom Charting Progress 2 sea regions,MEDIN Standards Group
C67,BODC series parameter collection names,British Oceanographic Data Centre
C71,BODC organisation categories,British Oceanographic Data Centre
C72,BODC core failure codes,British Oceanographic Data Centre
C75,BODC Organisation Histories,British Oceanographic Data Centre
C77,SeaDataNet Cruise Summary Report data categories,SeaDataNet
C86,SeaDataNet contact and security access roles,SeaDataNet
C87,BODC project roles,British Oceanographic Data Centre
C88,BODC asset access right roles,British Oceanographic Data Centre
C89,BODC dataset roles,British Oceanographic Data Centre
C96,BODC data model spatial objects,British Oceanographic Data Centre
C97,NERC Vocabulary Server Version 1 mappings index,British Oceanographic Data Centre
C98,Vocabulary Server list subject categories,British Oceanographic Data Centre
D01,DCAT Themes for Linked Data Representation of the SeaDataNet EDMED Catalogue,SeaDataNet
E01,ESEAS active tide gauge sites,British Oceanographic Data Centre
E02,Processing Levels for Earth Observing System Standard Data Products,National Aeronautics and Space Administration
F02,SeaDataCloud Flow Cytometry Standardised Cluster Names,SeaDataNet
G01,CI_DateTypeCode,International Organization for Standardization
G02,CI_OnlineFunctionCode,International Organization for Standardization
G03,CI_PresentationFormCode,International Organization for Standardization
G04,CI_RoleCode,International Organization for Standardization
G05,DQ_EvaluationMethodTypeCode,International Organization for Standardization
G06,DS_AssociationTypeCode,International Organization for Standardization
G07,DS_InitiativeTypeCode,International Organization for Standardization
G08,MD_CellGeometryCode,International Organization for Standardization
G09,MD_CharacterSetCode,International Organization for Standardization
G10,MD_ClassificationCode,International Organization for Standardization
G11,MD_CoverageContentTypeCode,International Organization for Standardization
G12,MD_DatatypeCode,International Organization for Standardization
G13,MD_DimensionNameTypeCode ,International Organization for Standardization
G14,MD_GeometricObjectTypeCode,International Organization for Standardization
G15,MD_ImagingConditionCode ,International Organization for Standardization
G17,MD_MaintenanceFrequencyCode,International Organization for Standardization
G18,MD_MediumFormatCode,International Organization for Standardization
G20,MD_ObligationCode,International Organization for Standardization
G21,MD_PixelOrientationCode,International Organization for Standardization
G22,MD_ProgressCode,International Organization for Standardization
G23,MD_RestrictionCode,International Organization for Standardization
G25,MD_ScopeCode,International Organization for Standardization
G26,MD_SpatialRepresentationTypeCode,International Organization for Standardization
G28,MD_TopologyLevelCode,International Organization for Standardization
G29,MX_ScopeCode,International Organization for Standardization
G30,MD_SpatialRepresentationTypeCode (DO NOT USE - use G26 instead),British Oceanographic Data Centre
GBX,I18n system English (UK) language terms,British Oceanographic Data Centre
GGB,GEBCO_2019 Grid source data types,British Oceanographic Data Centre
GGS,GEBCO 30-second grid data sources,British Oceanographic Data Centre
GGT,GEBCO Grid Source Data Type Identifier,Nippon Foundation-GEBCO Seabed 2030 Project Team
GS1,Geo-Seas features of interest,Geo-Seas
GS2,Geo-Seas observed properties,Geo-Seas
GS3,Geo-Seas adjusted Folk sediment lithology classes,Geo-Seas
GS4,Geo-Seas geological sample colours,Geo-Seas
GS5,Geo-Seas sediment grain-size skewness descriptors,Geo-Seas
GS6,Geo-Seas sediment grain-size kurtosis descriptors,Geo-Seas
GS8,Geo-Seas Seismic Methods,Geo-Seas
GS9,Geo-Seas Seismic Survey Dimensionality,Geo-Seas
