datasetID,institution,title,server
nodcPJJU,NOAA OAR AOML,"AN EXPERIMENTAL DATASET: Underway Sea Surface Temperature and Salinity Aboard the Oleander, 2007-2010","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
ECMM_Atlantic_spotted_dolphin,Duke University Marine Geospatial Ecology Laboratory,Atlantic Spotted Dolphin Habitat-based Marine Mammal Density Models for the U.S. Atlantic: Latest Versions,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
ECMM_Atlantic_white_sided_dolphin,Duke University Marine Geospatial Ecology Laboratory,Atlantic White Sided Dolphin Habitat-based Marine Mammal Density Models for the U.S. Atlantic: Latest Versions,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
testGridWav,???,Audio data from a local source.,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
testTableWav,???,Audio data from a local source.,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nceiPH53sstd1day,NCEI,"AVHRR Pathfinder Version 5.3 L3-Collated (L3C) SST, Global, 0.0417\u00b0, 1981-present, Daytime (1 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nceiPH53sstd1day_Lon0360,NCEI,"AVHRR Pathfinder Version 5.3 L3-Collated (L3C) SST, Global, 0.0417\u00b0, 1981-present, Daytime (1 Day Composite), Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nceiPH53sstn1day,NCEI,"AVHRR Pathfinder Version 5.3 L3-Collated (L3C) SST, Global, 0.0417\u00b0, 1981-present, Nighttime (1 Day Composite)","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
nceiPH53sstn1day_Lon0360,NCEI,"AVHRR Pathfinder Version 5.3 L3-Collated (L3C) SST, Global, 0.0417\u00b0, 1981-present, Nighttime (1 Day Composite), Lon0360","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
ECMM_Blue_whale,Duke University Marine Geospatial Ecology Laboratory,Blue Whale Habitat-based Marine Mammal Density Models for the U.S. Atlantic: Latest Versions,"https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast1day,"UCSC, UCSD","C-HARM v1 1-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast1day_LonPM180,"UCSC, UCSD","C-HARM v1 1-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast2day,"UCSC, UCSD","C-HARM v1 2-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast2day_LonPM180,"UCSC, UCSD","C-HARM v1 2-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast0day,"UCSC, UCSD","C-HARM v1 Nowcast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast0day_LonPM180,"UCSC, UCSD","C-HARM v1 Nowcast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast3day,"UCSC, UCSD","C-HARM v1, 3-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast3day_LonPM180,"UCSC, UCSD","C-HARM v1, 3-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2018-2022, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast1dayV2,"UCSC, UCSD","C-HARM v2 1-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast1dayV2_LonPM180,"UCSC, UCSD","C-HARM v2 1-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast2dayV2,"UCSC, UCSD","C-HARM v2 2-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast2dayV2_LonPM180,"UCSC, UCSD","C-HARM v2 2-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast3dayV2,"UCSC, UCSD","C-HARM v2 3-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast3dayV2_LonPM180,"UCSC, UCSD","C-HARM v2 3-Day Forecast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present, Lon+/-180","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
charmForecast0dayV2,"UCSC, UCSD","C-HARM v2 Nowcast, Pseudo-nitzschia, cellular domoic acid, and particular domoic acid probability, California and Southern Oregon coast, 2022-present","https://coastwatch.pfeg.noaa.gov/erddap/tabledap/allDatasets.html?datasetID,institution,title"
